"x"	"y"	"r"
5	5	0.559510862432506
15	5	0.320247464748234
25	5	0.247780888964622
35	5	0.563121757718511
45	5	0.3312936139046
55	5	0.433265752771232
65	5	0.346704246082587
75	5	0.42883046255409
85	5	0.68975601088295
95	5	0.282646474149352
5	15	0.202266132961456
15	15	0.370670714861333
25	15	0.319329656311794
35	15	0.475810940594971
45	15	0.205755272436851
55	15	0.350372959193011
65	15	0.413890941888609
75	15	0.673995850855318
85	15	0.621684023688939
95	15	0.271309464956757
5	25	0.178483609523031
15	25	0.324018715101772
25	25	0.193826365892975
35	25	0.286309456595601
45	25	0.761983847698197
55	25	0.350952172089725
65	25	0.120861250062323
75	25	0.879046743114033
85	25	0.494738607996534
95	25	0.282551069471606
5	35	1.0182446691536
15	35	0.637391531727397
25	35	0.47574385381639
35	35	0.220013998919704
45	35	0.194048770129203
55	35	0.459465859395154
65	35	0.350468469206545
75	35	0.895857195492485
85	35	0.658462020128332
95	35	0.620323689330539
5	45	0.353504811304934
15	45	1.05698626667815
25	45	0.38700935992215
35	45	1.16710299537605
45	45	0.608030910498634
55	45	0.346368642563626
65	45	0.23880194171401
75	45	0.482098302859792
85	45	0.459058190320389
95	45	0.445348416082261
5	55	0.370756879792159
15	55	0.566883597486913
25	55	0.630418291288076
35	55	0.85357514534358
45	55	0.575501699475846
55	55	0.369881871816843
65	55	0.394871251105623
75	55	0.359646137916812
85	55	0.675997592453119
95	55	0.404036153271556
5	65	0.44919875934618
15	65	1.54955015103449
25	65	0.520263961953251
35	65	0.517604792652375
45	65	0.352136779274612
55	65	0.315357652147838
65	65	0.30621700757893
75	65	0.212890365398703
85	65	0.280929850042072
95	65	0.20918111084498
5	75	0.310299387500439
15	75	0.506081599025894
25	75	0.936624869088772
35	75	0.328137058982372
45	75	0.284525000746585
55	75	0.400412413162302
65	75	0.222288073704705
75	75	0.366174464559282
85	75	0.614749628359348
95	75	0.382743853447169
5	85	0.473731340084577
15	85	0.815255631761372
25	85	0.610187825210579
35	85	0.586344082684061
45	85	0.393387699583156
55	85	1.02994846491863
65	85	0.326353490503935
75	85	1.56272471528086
85	85	0.427692233830502
95	85	1.0085488163755
5	95	0.297898005385944
15	95	0.303774602152563
25	95	0.576601046143244
35	95	1.35863907667891
45	95	0.381288470011894
55	95	0.331360210943437
65	95	0.202486315604022
75	95	0.156511761103035
85	95	0.362803163434298
95	95	0.380469097349711
