"x"	"y"	"r"
5	5	0.511053699460404
15	5	0.426258043869557
25	5	0.46090573317351
35	5	0.691837624522484
45	5	0.224336469407103
55	5	0.164681719569978
65	5	0.444737169312687
75	5	0.416210582861786
85	5	0.358038092649069
95	5	0.650371069156208
5	15	0.507291175215505
15	15	0.595711955157196
25	15	0.574748036632738
35	15	0.492265800956493
45	15	0.424336657944275
55	15	0.358469759627995
65	15	1.15070182444878
75	15	0.403164220591968
85	15	0.485291671863434
95	15	0.490877529452532
5	25	0.256178354740272
15	25	0.202583344337833
25	25	0.231621575177152
35	25	0.69221088917346
45	25	0.513425369792127
55	25	0.147915387994462
65	25	0.3659096229854
75	25	0.328135044591511
85	25	0.532981550613522
95	25	0.147200306102922
5	35	0.332860734698612
15	35	0.336370615902133
25	35	0.391878994601415
35	35	0.424190142430886
45	35	0.456340069173995
55	35	0.437726991268202
65	35	0.697325016444915
75	35	0.318813775169557
85	35	0.492183583437376
95	35	0.401097674409108
5	45	0.752830772962928
15	45	0.518183523165483
25	45	0.61362062076799
35	45	0.561691910554108
45	45	0.770391686756934
55	45	0.367402367377944
65	45	0.458577471138597
75	45	0.763393441852868
85	45	0.701567194014341
95	45	0.640811044866978
5	55	0.523311613748021
15	55	0.870645454934816
25	55	0.355889100522493
35	55	0.569936410371622
45	55	0.74938412949493
55	55	1.16819457382191
65	55	0.729547284203952
75	55	0.267224314264024
85	55	0.743785592781609
95	55	0.436021142376633
5	65	0.462069015695783
15	65	0.902290924972567
25	65	0.765544730618574
35	65	0.809427849564938
45	65	0.392131699469057
55	65	0.394280383625493
65	65	0.807492337717302
75	65	0.786640269824047
85	65	0.210686674937831
95	65	0.311791182276614
5	75	0.687179920083511
15	75	0.429704786399624
25	75	0.969505442234825
35	75	0.535490715377474
45	75	0.478071698840662
55	75	0.916368088415127
65	75	0.326497749990553
75	75	0.697378187842082
85	75	0.984404896069461
95	75	0.34170784135365
5	85	0.293199872767667
15	85	0.581187149992625
25	85	0.479740150934345
35	85	0.408040166063159
45	85	0.16868148585639
55	85	0.349574277329078
65	85	0.202283142412568
75	85	0.914610172889204
85	85	0.480589698617422
95	85	1.09216486749408
5	95	0.413909928610368
15	95	0.774996268872721
25	95	0.744175992295238
35	95	0.308581299975909
45	95	0.406751661019785
55	95	0.402699658399308
65	95	0.393064620485181
75	95	0.233353839610153
85	95	0.467635994730609
95	95	0.205809095087137
