"x"	"y"	"r"
1	2	0.538008186293788
9	13	0.88292111971711
6	19	0.181339407869571
6	12	0.347771025620393
6	34	0.228835651881036
5	36	0.226968666460578
4	34	0.359498856587192
3	33	0.198501619773245
1	38	0.813834058212649
6	39	0.393842605674742
2	38	0.123025299701558
7	32	0.363543394609278
5	47	0.309282978629081
7	78	0.408914141368181
8	84	0.652985399062305
9	86	0.25526957212841
15	24	0.329821502491237
14	22	0.544363637742884
11	56	0.735637536265618
17	67	1.48248017902188
19	75	0.179588551163531
18	73	0.574616962426856
18	88	0.641168387249331
17	98	0.403353771783527
21	1	0.201904874604465
24	11	0.581679692125996
23	12	0.598689480096855
27	39	0.478286417197573
29	35	0.712866187302076
27	34	0.465680179797411
23	43	0.990150106921488
21	47	0.303011974877497
25	46	0.478659511421881
25	51	0.271852521943862
21	78	0.628837605170912
24	82	0.474432573219592
25	92	0.296666409489694
38	7	0.663874784222388
37	6	0.363879295232799
33	7	0.309592026875953
32	5	0.544145631514212
37	28	0.252387173783992
35	26	0.389764702251146
32	27	0.922707467890735
38	28	0.514359242501956
36	36	0.424104829454925
37	39	0.838647265003925
33	73	0.372570167437112
36	79	0.618321028547105
47	13	0.410868481913643
48	25	0.4316938745992
49	21	0.408060162146423
46	27	1.05995694554543
46	37	0.84355552068168
44	33	0.478216543890033
44	57	0.287560725111462
45	65	0.222234498115108
41	69	0.245222392483352
42	67	0.307490251015612
46	72	0.260079159868824
46	71	0.246520958454761
47	77	0.68185723273561
55	13	0.463181995522063
55	42	0.355295405414363
59	48	0.402412803606579
52	73	0.558122165556755
57	97	0.60604348271303
54	97	0.314779409407443
64	27	0.375730491313188
63	57	0.423905321526314
61	54	0.89924610792362
61	75	0.272658059512436
68	73	1.34897265086977
62	97	0.243344426261053
76	1	0.520050130967099
73	6	0.310217545677643
77	2	0.420888771184168
74	7	0.409593951323422
74	12	0.427816630246709
76	59	0.476230039175264
78	53	0.525541520626054
78	64	0.746514373328415
74	76	0.391103773720429
72	78	0.465677440612808
82	8	0.790505949419254
82	66	0.234007209381856
81	64	0.37141650794139
83	74	0.631002359694424
85	79	0.6672824060595
84	88	0.596125644256765
87	87	1.43949740969338
83	83	0.335674299686484
89	81	0.305913868870564
84	87	0.234984805278661
98	14	0.488163655003764
95	36	0.215791280818271
98	35	0.490719410950848
92	33	0.609541959684803
97	32	1.24855421801395
92	91	0.316744837523483
