"x"	"y"	"r"
5	5	0.398892305126302
15	5	0.671429566791149
25	5	0.359079466378297
35	5	0.399777578405347
45	5	0.263309693055535
55	5	0.752013517500605
65	5	0.625790533610875
75	5	0.467679246055366
85	5	0.672763331562908
95	5	0.428114546350723
5	15	0.239684186278737
15	15	0.826512597634147
25	15	0.483493331030729
35	15	0.442431461214774
45	15	0.454277432792262
55	15	0.198554088435183
65	15	0.262444916273207
75	15	0.6619486887518
85	15	0.8441263670053
95	15	0.285667637418186
5	25	0.997816561350644
15	25	0.717654883451205
25	25	0.276469249868771
35	25	0.60039792504439
45	25	0.616102094621452
55	25	0.692194625610185
65	25	0.637138770802901
75	25	0.757172787156368
85	25	0.556129637565276
95	25	0.517357376872979
5	35	0.435659240036618
15	35	0.493056775370231
25	35	0.933210328142319
35	35	0.274179039060705
45	35	0.356102685813101
55	35	0.573242043661023
65	35	0.695373294582754
75	35	0.663224234904644
85	35	0.655388453414373
95	35	0.31909730901317
5	45	0.309744539402414
15	45	0.410318526960414
25	45	0.276626400785236
35	45	0.402976984713412
45	45	0.338445628899328
55	45	0.84089581587507
65	45	0.31608282959562
75	45	0.280511736688373
85	45	0.439517501072358
95	45	0.217344233338228
5	55	0.4025981505667
15	55	0.503255578544248
25	55	0.252467834688275
35	55	0.303299271013723
45	55	0.489112488481063
55	55	0.414998372208829
65	55	0.544126226247798
75	55	0.592181659481815
85	55	0.587786251265488
95	55	1.59589952481703
5	65	0.0866344840482281
15	65	0.322077859996714
25	65	0.368890040185762
35	65	0.430445801573504
45	65	0.399489976835939
55	65	0.303406957123821
65	65	0.53123748042753
75	65	1.17849596657857
85	65	0.475776572870159
95	65	0.595813017675721
5	75	0.476163755323524
15	75	0.149120765665685
25	75	0.973930291157013
35	75	0.45988851039126
45	75	0.373760757458705
55	75	0.385394377976208
65	75	0.383571152795379
75	75	0.348070319050369
85	75	0.510192230522573
95	75	0.544662607746436
5	85	0.276459696964766
15	85	0.34444715070234
25	85	0.290680626467892
35	85	0.401191471399626
45	85	0.708344056806113
55	85	1.02513622021222
65	85	0.511104002440847
75	85	0.298619730219724
85	85	1.31758577223067
95	85	0.334338451244591
5	95	0.325956736785345
15	95	1.10611872414287
25	95	0.528356775655895
35	95	0.48480056791044
45	95	0.530035923579177
55	95	0.28605585018656
65	95	0.218346491606721
75	95	0.427678689247834
85	95	0.31995848356673
95	95	0.476175735519652
