"x"	"y"	"r"
5	5	0.262359637983803
15	5	0.560364734153954
25	5	0.359188135282226
35	5	0.431596777604217
45	5	0.267387018373075
55	5	0.482733110892971
65	5	0.823403509697434
75	5	1.08762235478584
85	5	0.851851448634188
95	5	0.61341683535366
5	15	0.312785400484285
15	15	0.549069982406042
25	15	0.587098023488052
35	15	0.364652050994363
45	15	0.464213110634568
55	15	0.291675281858719
65	15	0.658602992667444
75	15	0.424949265253522
85	15	0.379456597073277
95	15	0.254908625111654
5	25	0.281215779713301
15	25	0.347647609284115
25	25	0.439739750328743
35	25	0.389331063254622
45	25	0.513925484306368
55	25	0.29642888908671
65	25	0.421439318774943
75	25	0.393552045683696
85	25	0.320316964896181
95	25	0.305026785827289
5	35	0.162574968011878
15	35	0.373850652305364
25	35	1.12527248489615
35	35	0.557539823846481
45	35	0.694522383103761
55	35	0.630328342491717
65	35	0.585166542144785
75	35	1.29441865942533
85	35	0.84523115224561
95	35	0.507993900501052
5	45	0.391507156044878
15	45	0.379993923593004
25	45	0.342316774851237
35	45	0.764558101197992
45	45	0.25355595546719
55	45	0.574213647150749
65	45	0.226406285497513
75	45	0.209873370133807
85	45	0.780936001420353
95	45	0.733724477547797
5	55	0.412602799161189
15	55	1.78550650583592
25	55	0.291547012110402
35	55	0.179463482763536
45	55	0.814744986413174
55	55	0.341989403117934
65	55	0.728239761902643
75	55	0.308066100934539
85	55	0.154248274713465
95	55	0.841628807519064
5	65	0.205086648837023
15	65	0.657788382105309
25	65	0.567247083595375
35	65	0.406973677376207
45	65	0.275875858276258
55	65	0.427274383022766
65	65	0.54296091762552
75	65	0.632847041941169
85	65	1.28435893167645
95	65	0.249675216216274
5	75	0.378026979570353
15	75	0.313742574993693
25	75	0.475283690261526
35	75	0.26778700226827
45	75	0.506155535038419
55	75	0.56335996410029
65	75	0.3021164984244
75	75	0.163584885671829
85	75	0.326692194744888
95	75	0.42694701587302
5	85	0.411547122025163
15	85	0.941951667994485
25	85	0.404227681474771
35	85	0.359040724856861
45	85	0.163358373969276
55	85	0.794442612639363
65	85	0.477168433611951
75	85	0.465308539843302
85	85	0.292993066665746
95	85	0.783398995685518
5	95	0.344859327382877
15	95	0.149752444861182
25	95	0.362922265005363
35	95	0.187121308100253
45	95	0.733614174482092
55	95	0.505155195462206
65	95	0.863427102329299
75	95	0.173220149046981
85	95	0.274464024495957
95	95	0.570329011245963
