"x"	"y"	"r"
5	5	1.05253036645269
15	5	0.419545051523956
25	5	0.356963672545799
35	5	0.606553650306695
45	5	0.405010059598101
55	5	0.296442318561901
65	5	0.304066490757173
75	5	0.199915971452744
85	5	0.4650396752161
95	5	0.12193785013435
5	15	0.283207308550298
15	15	0.137706399289445
25	15	0.278256591802118
35	15	0.56125116350159
45	15	0.391264373505167
55	15	0.188486317775141
65	15	0.551111235843752
75	15	0.490676431081955
85	15	0.310456067438952
95	15	0.884775430055522
5	25	0.601655822415075
15	25	0.493006631563912
25	25	0.314000315565509
35	25	0.693215439178886
45	25	0.563633651033832
55	25	0.298587926537432
65	25	0.288310336681248
75	25	0.294469758395065
85	25	0.532544898453974
95	25	0.592420142684108
5	35	0.156273615504147
15	35	1.29768634020006
25	35	0.460480886411602
35	35	0.303482760559421
45	35	0.208531879284384
55	35	0.257365219893524
65	35	0.601110846714455
75	35	0.531934384418508
85	35	0.266489825901143
95	35	0.5273242018777
5	45	0.277977959213671
15	45	0.768965729157092
25	45	0.33953665801273
35	45	0.458709108451445
45	45	1.15024400505971
55	45	0.593589344941707
65	45	0.397501684610045
75	45	0.782188173508329
85	45	0.414880372979293
95	45	0.320301718338354
5	55	0.63117996774585
15	55	0.166525248462477
25	55	0.431588083925629
35	55	0.317621696878539
45	55	0.22786813626691
55	55	0.743220126055264
65	55	0.30527114394931
75	55	0.345247898452225
85	55	0.378037821944481
95	55	1.231324789401
5	65	0.398137890881067
15	65	1.52034235742181
25	65	0.606521454817285
35	65	0.374520140891952
45	65	0.431462036702432
55	65	0.320543692718728
65	65	0.350082105390136
75	65	0.377209851600815
85	65	0.51457897283556
95	65	1.02743783748862
5	75	0.401744820489787
15	75	0.569230372802868
25	75	0.367817108820412
35	75	0.25533921707745
45	75	0.398671504165343
55	75	0.642830949067227
65	75	0.355607949607603
75	75	0.383201855297552
85	75	0.256397281346185
95	75	0.589302268195393
5	85	0.553791743259382
15	85	0.964954870946518
25	85	0.529560663954289
35	85	1.16247995930127
45	85	0.191173970657202
55	85	0.32395373691816
65	85	0.437543067336614
75	85	0.474861475386927
85	85	0.814723725647839
95	85	0.414692904293516
5	95	0.936858010277443
15	95	0.164951524859268
25	95	0.971084173831732
35	95	0.177620539515193
45	95	0.472265015982703
55	95	0.363168196827183
65	95	0.568550300735693
75	95	0.474644018636171
85	95	0.990055607297395
95	95	0.307422626133032
